Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
-19.704,-12.686,-12.504,-6.0914,-23.827999,-8.0808,-14.067,-1.1057,-4.9505,1.9529,-3.8095,7.935,1.005,9.835,-8.5486,12.874,0
-18.719,-13.657,-13.541,-7.1066,-24.818001,-7.0707,-11.067,-2.0813,-4.9505,1.9529,-3.8095,8.9106,1.005,10.825,-6.6348,11.888,0
-17.733999,-10.744,-7.323,-2.0305,-18.878,-5.0505,-7.0667,1.8211,0,4.9832,0.13136,10.862,6.0302,13.795,3.8915,12.874,0
-9.8522,-7.8317,-1.1054,2.0305,-12.937,0,-5.0667,5.7236,8.9109,11.044,4.0722,14.764,12.06,18.746,10.59,11.888,0
-10.837,-6.8608,4.076,7.1066,-10.957,1.0101,-3.0667,6.6992,15.842,15.084,9.9836,15.74,18.09,21.716,4.8485,12.874,0
-3.9409,-1.0356,7.1848,9.1371,-6.0066,1.0101,4.9333,7.6748,14.851,17.104,13.924,14.764,19.094999,19.736,4.8485,10.903,0
-4.9261,-1.0356,7.1848,10.152,-6.9967,2.0202,7.9333,8.6504,10.891,15.084,12.939,14.764,17.084999,17.756001,2.9346,12.874,0
-8.867,-5.89,-3.1779,3.0457,-12.937,2.0202,-0.06667,5.7236,4.9505,9.0236,7.0279,14.764,8.0402,13.795,4.8485,13.859,0
-11.823,-4.9191,-1.1054,4.0609,-17.888,4.0404,0.93333,7.6748,4.9505,7.0034,8.9984,16.715,10.05,13.795,-8.5486,19.77,0
-8.867,-3.9482,3.0397,6.0914,-17.888,8.0808,3.9333,15.48,11.881,11.044,18.851,23.545,19.094999,18.746,-1.8501,27.652,0
-4.9261,-4.9191,9.2573,6.0914,1.9142,2.0202,11.933,13.528,18.812,10.034,22.791,22.569,22.111,19.736,-1.8501,27.652,0
-3.9409,-8.8026,-0.06909,-8.1218,5.8746,-9.0909,5.9333,-1.1057,0.9901,-4.1077,6.0427,5.0081,4.0201,2.9043,-13.333,6.9622,0
-6.8966,-7.8317,-3.1779,-9.1371,-2.0462,-14.141,-1.0667,-7.935,-7.9208,-10.168,-3.8095,-5.7236,-5.0251,-5.0165,-18.118,-3.8752,0
